Porto Velho;Acima de 1 Bilhão
Ji-Paraná;Acima de 1 Bilhão
Vilhena;Acima de 1 Bilhão
Ariquemes;Acima de 1 Bilhão
Cacoal;Acima de 1 Bilhão
Jaru;Acima de 1 Bilhão
Rolim de Moura;Acima de 1 Bilhão
Pimenta Bueno;Acima de 1 Bilhão
Guajará-Mirim;Acima de 500 Milhões
Ouro Preto do Oeste;Acima de 500 Milhões
Buritis;Acima de 500 Milhões
Machadinho do Oeste;Acima de 500 Milhões
Espigão d'Oeste;Acima de 500 Milhões
São Miguel do Guaporé;Acima de 500 Milhões
Candeias do Jamari;Acima de 500 Milhões
Nova Mamoré;Acima de 500 Milhões
Cerejeiras;Acima de 500 Milhões
Alta Floresta do Oeste;Acima de 300 Milhões
Presidente Médici;Acima de 300 Milhões
Cujubim;Acima de 300 Milhões
Nova Brasilândia do Oeste;Acima de 300 Milhões
Alto Paraíso;Acima de 300 Milhões
São Francisco do Guaporé;Acima de 300 Milhões
Colorado do Oeste;Acima de 300 Milhões
Monte Negro;Acima de 200 Milhões
Alto Alegre dos Parecis;Acima de 200 Milhões
Campo Novo de Rondônia;Acima de 200 Milhões
Alvorada do Oeste;Acima de 200 Milhões
Chupinguaia;Acima de 100 Milhões
Corumbiara;Acima de 100 Milhões
Ministro Andreazza;Acima de 100 Milhões
Urupá;Acima de 100 Milhões
Costa Marques;Acima de 100 Milhões
Seringueiras;Acima de 100 Milhões
Mirante da Serra;Acima de 100 Milhões
Governador Jorge Teixeira;Acima de 100 Milhões
Theobroma;Acima de 100 Milhões
Santa Luzia do Oeste;Acima de 100 Milhões
Novo Horizonte do Oeste;Acima de 100 Milhões
Itapuã do Oeste;Acima de 100 Milhões
Vale do Paraíso;Acima de 100 Milhões
Cacaulândia;Acima de 100 Milhões
Cabixi;Acima de 100 Milhões
Vale do Anari;Acima de 100 Milhões
Nova União;Até 100 Milhões
Parecis;Até 100 Milhões
Rio Crespo;Até 100 Milhões
Pimenteiras do Oeste;Até 100 Milhões
Teixeirópolis;Até 100 Milhões
São Felipe do Oeste;Até 100 Milhões
Castanheiras;Até 100 Milhões
Primavera de Rondônia;Até 100 Milhões
